,headword,xis_entry,instances_all
1686,pitti[just as]AV,akk.r0196c,"saao/sargonletters:P334115.8.3 (ip-pi-it-ti),saao/sargonletters:P334198.7.3 (pi-i-te),saao/sargonletters:P334377.32.2 (pi-it-te),saao/sargonletters:P313616.17.2 (pi-it-ti),saao/sargonletters:P313616.20.2 (pi-it-ti),saao/sargonletters:P313722.30.1 (pi-it-ti),saao/sargonletters:P314313.7.7 (pi-it-ti),saao/sargonletters:P334103.28.2 (pi-it-ti),saao/sargonletters:P334109.9.1 (pi-it-ti),saao/sargonletters:P334498.10.4 (pi-it-ti),saao/sargonletters:P334671.13.2 (pi-it-ti),saao/sargonletters:X900014.36.3 (pi-it-ti),saao/sargonletters:P313507.43.5 (pi-te),saao/sargonletters:P334051.31.5 (pi-te),saao/sargonletters:P313553.13.2 (pi-ti),saao/sargonletters:P313894.10.2 (pi-ti),saao/sargonletters:P313894.14.2 (pi-ti),saao/sargonletters:P313894.4.2 (pi-ti),saao/sargonletters:P313926.7.2 (pi-ti),saao/sargonletters:P314157.11.2 (pi-ti),saao/sargonletters:P334051.28.2 (pi-ti),saao/sargonletters:P334381.41.2 (pit-ti)"
1687,pitūtu[(a headdress)]N,akk.r01980,"saao/sargonletters:P313801.18.1 (pi-tu-a-te),saao/sargonletters:P334056.18.1 (pi-tu-a-te)"
1688,pišannu[box]N,akk.r01981,"saao/sargonletters:P334804.12.1 ({GIŠ}pi-sa-na-a-te),saao/sargonletters:P314106.8.1 ({GIŠ}pi-sa-nu),saao/sargonletters:P334821.6.1 ({GIŠ}pi-sa-nu)"
1689,puhhu[exchange]V,akk.r01984,"saao/sargonletters:P334774.18.1 (lu-pi-hu),saao/sargonletters:P313761.11.5 (u₂-pa-ha-šu₂-nu),saao/sargonletters:P313878.11.1 (u₂-pa-hu),saao/sargonletters:X900014.18.2 (u₂-pa-hu-šu₂-nu)"
1690,puhtu[(meaning uncertain)]N,akk.r0198a,saao/sargonletters:P334104.45.1 (pu-uh-tu₂)
1691,puluhtu[fear(someness)]N,akk.r0198b,"saao/sargonletters:P313778.8.7 (pu-luh-te),saao/sargonletters:P313571.35.2 (pu-luh-tu₂),saao/sargonletters:P313863.8.8 (pul-ha-a-te)"
1692,purīdu[leg]N,akk.r0198f,saao/sargonletters:P313844.7.3 (pu-ri-di)
1693,purīṭu[(meaning unknown)]N,akk.r01990,saao/sargonletters:P334716.14.1 (pu-ri-ṭu)
1694,puršumu[old (man)]N,akk.r01991,"saao/sargonletters:P313425.26.4 ({LU₂}AB.BA-ME),saao/sargonletters:P313753.13.3 ({LU₂}AB.BA-MEŠ),saao/sargonletters:P314316.4.3 ({LU₂}AB.BA-MEŠ),saao/sargonletters:P334040.14.3 ({LU₂}AB.BA-MEŠ),saao/sargonletters:P334496.11.5 ({LU₂}AB.BA-MEŠ),saao/sargonletters:P334695.13.2 ({LU₂}AB.BA-MEŠ),saao/sargonletters:P334114.43.2 ({LU₂}par-ša₂-mu-ti)"
1695,puāgu[take away forcibly from]V,akk.r01996,"saao/sargonletters:P334703.19.1 (i-pu-gu-na-a-ši),saao/sargonletters:P224485.47.3 (i-pu-gu-šu₂-ni),saao/sargonletters:P313477.6.3 (ip-tu-gu),saao/sargonletters:P334186.39.2 (ip-tu-gu),saao/sargonletters:P334644.15.1 (ip-tu-gu-na-ši),saao/sargonletters:P313887.11.1 (ip-tu-u-gu),saao/sargonletters:P334825.29.4 (pu-a-gi),saao/sargonletters:P334386.33.3 (pu-ga-ni-šu₂)"
1696,puāšu[agree]V,akk.r019a0,saao/sargonletters:P334837.16.6 (a-pu-aš₂)
1697,pušku[unit]N,akk.r019a1,saao/sargonletters:P334322.29.3 (pu-su-ku)
1698,pû[chaff]N,akk.r019a2,saao/sargonletters:P334534.12.1 ({U₂}pu-e)
1699,pû[mouth]N,akk.r019a3,"saao/sargonletters:P334149.9.6 (KA),saao/sargonletters:P314321.4.2 (KA-ia),saao/sargonletters:P334357.9.2 (KA-ia),saao/sargonletters:P334149.19.1 (KA-šu₂-nu),saao/sargonletters:P224485.26.3 (pe-e),saao/sargonletters:P313725.7.2 (pe-e),saao/sargonletters:P334111.25.3 (pe-e),saao/sargonletters:P334181.33.4 (pe-e),saao/sargonletters:P334181.9.3 (pe-e),saao/sargonletters:P313471.23.2 (pi-i),saao/sargonletters:P313510.44.5 (pi-i),saao/sargonletters:P313571.31.3 (pi-i),saao/sargonletters:P313653.5.5 (pi-i),saao/sargonletters:P313835.18.3 (pi-i),saao/sargonletters:P314286.5.2 (pi-i),saao/sargonletters:P334036.30.2 (pi-i),saao/sargonletters:P334050.34.2 (pi-i),saao/sargonletters:P334198.23.2 (pi-i),saao/sargonletters:P334263.13.3 (pi-i),saao/sargonletters:P334263.18.2 (pi-i),saao/sargonletters:P334280.23.5 (pi-i),saao/sargonletters:P334693.13.5 (pi-i),saao/sargonletters:P334772.28.8 (pi-i),saao/sargonletters:P334849.11.2 (pi-i),saao/sargonletters:P334916.13.4 (pi-i),saao/sargonletters:P334916.25.4 (pi-i),saao/sargonletters:P334263.15.1 (pi-i-ia-a-ma),saao/sargonletters:P313452.24.2 (pi-i-ka),saao/sargonletters:P313773.23.5 (pi-i-ka),saao/sargonletters:P313823.7.3 (pi-i-ni),saao/sargonletters:P334724.12.1 (pi-i-ša-nu-u₂-ni),saao/sargonletters:P313551.20.3 (pi-i-šu),saao/sargonletters:P224485.10.2 (pi-i-šu₂),saao/sargonletters:P313427.11.5 (pi-i-šu₂),saao/sargonletters:P313483.22.2 (pi-i-šu₂),saao/sargonletters:P313652.10.6 (pi-i-šu₂-nu),saao/sargonletters:P334703.11.2 (pi-i-šu₂-u),saao/sargonletters:P313653.9.5 (pi-ia),saao/sargonletters:P334344.48.4 (pi-ia-a-ti),saao/sargonletters:P334080.35.2 (pi-šu₂),saao/sargonletters:P334606.31.3 ({ID₂}pi-ia-a-ti),saao/sargonletters:P313659.34.4 ({UZU}pi-i-šu₂-nu)"
